sex,age,field,language,education,paranormal,toss.K,toss.RT,grid.K,grid.RT,guess.K,guess.RT,roll.K,roll.RT,spot.K,spot.RT,K,toss,guess,roll,spot,grid,RT
male,29.67123288,science,french,7,0,0.201293726,36.7,1.773448729,30,1.129786306,32.4,0.655750151,33.1,1.887173035,20.1,1.129490389,1111010010,4154324523,2433452313,6438957681,10100111,152.3
male,27.60547945,humanities,english,6,0,-0.693076878,29.7,-0.47314368,8.6,-1.207709419,16.1,0.628919518,16.4,-0.031083841,8.6,-0.35521886,1.11111E+11,4222215334,4311656612,5562177884,100101111,79.4
male,39.96986301,science,french,6,1,-0.329774335,15.3,1.821416993,10.7,-9.982032341,19.3,1.250704719,16.1,-14.07232956,14.2,-4.262402904,1001110010,1111111111,2512653215,6666666663,10110101,75.6
female,39.46849315,science,french,4,0,0.404517268,10.9,0.20659518,15.4,1.377945163,10.1,1.500101826,6.3,1.268098806,10.8,0.951451648,11011100101,3243541321,2465631256,5426985478,1111010,53.5
male,57.86575342,0,french,3,0,-4.415494561,14.7,-3.040965737,9.3,-9.982032341,8.4,2.099670154,6.9,1.319885988,7.9,-2.803787299,0,3333333333,5631245621,5685417893,0,47.2
male,42.19452055,0,french,1,3,-0.711381115,9.4,-0.956960541,7.1,0.898013462,16.2,2.123737643,7,1.260039675,9.3,0.522689825,10110000100,4251224312,4251362541,4865298245,101101011,49
male,40.52054795,0,french,3,0,0.153881601,19.6,0.35618483,29.5,1.413965472,13.5,0.679658361,17.7,2.072312735,8.4,0.9352006,10011011101,3243525341,1636251325,8534791256,10101100,88.7
male,50.17260274,science,french,7,1,0.165508595,6.2,-3.040965737,22.2,1.545973289,13.8,-0.409766206,14.1,1.480635055,12.2,-0.051723001,1.1001E+11,3342415324,4241125535,5174163598,0,68.5
female,35.34520548,0,french,3,4,-0.79783041,23.2,1.466399166,14.1,1.342863261,12.9,1.037012471,11.8,0.771088687,9.6,0.763906635,1.1011E+11,4421553432,2516524511,5265141856,11100011,71.6
female,55.43287671,0,french,3,5,-4.415494561,30.3,-0.252960072,23.6,-2.569063453,26.9,0.122137775,12.2,-15.15284495,10.2,-4.453645053,0,3445553333,2551644366,8888888888,101011101,103.2
female,70.69315068,humanities,french,5,5,-0.205368109,12.3,-3.040965737,10.5,-4.892188648,61.3,-0.492389239,25.2,1.35522747,15.8,-1.455136852,1010110111,1111112242,2552345666,8459735688,0,125.1
male,38.56712329,other,french,4,3,-0.818235958,25.6,0.189437849,9,1.028579708,19.4,0.893315326,14.4,1.316597975,14.9,0.52193898,1.10001E+11,1545134315,5245663132,4538625427,11110101,83.3
male,30.66849315,other,french,5,2,-0.759925309,17.7,1.821416993,21.4,1.515013786,21.9,1.395504934,11.8,1.643423961,15.1,1.123086873,1010111010,2354512231,1543256235,5368471568,10001101,87.9
female,29.8739726,other,french,6,2,-1.283928445,18.8,-1.474774505,15.3,0.995475316,33.2,1.583223475,17.4,1.771226882,10.3,0.318244544,1.101E+11,4523414534,5436621365,8654178523,100010000,95
male,34.78356164,other,french,5,5,0.817983063,10.1,0.20659518,42.2,1.582249666,16,0.961202709,19.4,1.575043271,15.5,1.028614778,11000100111,3214452234,5411634566,4152362417,110000101,103.2
male,26.52054795,0,french,3,2,-0.420979762,53.4,-0.490516869,17.7,0.914708044,38,0.167906474,25.6,2.007577919,10.7,0.435739161,1011001010,4134251355,5646553436,8724918537,100110010,145.4
female,27.30958904,humanities,french,4,0,-1.402771782,10.4,-3.040965737,12.9,2.096486127,19,0.959096174,16.9,1.893948021,8.8,0.10115856,10010101011,2341543512,2533543625,5684239741,0,68
female,39.8630137,science,french,5,0,-0.369969093,33,0.446237926,16,1.062518434,28.5,0.683107553,16.1,1.409533703,12.5,0.646285705,1.11001E+11,4524131553,5423135655,8698412586,101100100,106.1
male,38.03287671,science,french,6,0,1.435280313,16.3,-3.040965737,15.5,0.658026735,12.9,0.844001159,10.4,1.005897413,14.2,0.180447977,10011111000,5444211354,5254113362,1581632658,0,69.3
male,60.48219178,other,french,6,0,0.165508595,35.3,-3.040965737,15.9,0.086023436,17.1,0.807655947,11.8,1.37032566,14.7,-0.12229042,1.1001E+11,3441214555,5425663211,5866214789,0,94.8
male,66.29315068,0,french,1,0,-0.451488597,19.5,-1.210243675,27.2,0.966070674,19.9,0.45284818,29.2,0.207377425,13,-0.007087198,10011011011,4215415325,3542531431,5231952341,100010,108.8
male,25.87123288,0,french,1,4,0.014702021,12.1,0.145914825,24,0.898013462,16.5,2.316066587,9,1.411681647,9.9,0.957275708,10011011010,2414533123,1653425316,1453268273,100011010,71.5
male,44.10136986,other,french,6,0,-1.256703796,27.1,-3.040965737,6.1,0.731738074,23.4,0.269339686,20.4,-0.006583629,15.9,-0.66063508,111,2351321135,6245156333,8855624177,111111111,92.9
male,44.84931507,science,french,4,3,-0.79783041,14.9,0.20659518,26.1,1.087749693,15.7,0.775921099,14.9,0.86836231,18,0.428159574,1.1011E+11,2115231421,1412314652,1686382461,110011010,89.6
female,51.83287671,humanities,french,4,4,1.482692438,28.4,0.20659518,12.9,0.914708044,28,2.513331583,9,1.837373764,12.9,1.390940202,11100001101,2412453214,1562432516,4582168973,1111010,91.2
female,27.77260274,0,french,3,2,-0.420979762,28.2,1.036960055,20.6,-0.588818604,16.3,-0.993559547,8.9,-15.15284495,18.9,-3.223848562,1111111,1211551411,4665445644,5555555555,101010100,92.9
female,35.35616438,humanities,french,6,3,-0.720399077,10.9,-0.729549989,28.9,0.462388093,48.8,0.861553884,27.4,1.183415201,31,0.211481622,1011011010,4341243123,2166421526,5196254374,110000011,147
female,43.40821918,humanities,french,6,4,-0.251212237,50.1,0.20659518,24.1,0.33458171,28,-0.231777157,28.5,1.333363794,15.9,0.278310258,1.11101E+11,2314241555,6643515145,4769423679,10110011,146.6
male,39.92876712,science,french,6,1,-0.43940563,16.1,1.821416993,36.2,1.541506688,17.3,1.839261591,30.5,1.557967299,15.3,1.264149388,11101010010,3412532541,2413356143,5349561872,10001101,115.4
female,59.5890411,humanities,french,4,0,-0.301972727,26,-0.956960541,13.2,1.401851336,12.9,1.140965014,16.3,1.321405893,7.1,0.521057795,1.0111E+11,2124315213,5226416533,9547235643,1010010,75.5
female,40.76438356,humanities,english,4,0,-0.683787013,12.1,0.35618483,10,1.61953036,12.9,0.705737842,8.8,-15.15284495,11.1,-2.631035787,1011101101,4231543231,2354123546,5555555555,1101010,54.9
female,60.00273973,science,french,4,3,1.091831565,20.6,-0.678035429,17,1.920033109,19,1.583223475,9.3,1.847312966,17,1.152873137,11010011100,3521425313,5136425362,6418735842,11111100,82.9
female,50.42739726,science,french,6,0,-0.39582627,19.9,-3.040965737,12.8,1.519393234,15.6,1.596463222,14.6,1.307905843,16.8,0.197394059,11001001101,3214312541,5342566134,8424716952,0,79.7
female,43.40273973,science,french,7,0,0.404517268,36.4,0.189437849,27.8,0.31830198,29.1,1.747350948,28.2,-0.138841703,36.4,0.504153268,11110100010,3521544333,2563445132,5556847398,10001100,157.9
female,40.25479452,0,french,1,3,-2.661373086,44.4,-0.179909136,44.8,-0.935989997,52.6,1.010553329,54.6,-6.787012034,35,-1.910746185,1000,5215212513,1354635516,6236236236,1011110,231.4
male,37.44109589,science,french,6,0,-0.580153207,8.6,0.20659518,8.6,-9.982032341,20.2,1.633534822,5.9,-15.15284495,9.1,-4.7749801,101110101,4444444444,2561132453,2222222222,10110011,52.4
